卦序,索引,上卦,上数,下卦,下数,吉凶,卦象,卦名,卦意（邵雍）,符号,初爻（邵雍）,初爻吉凶,初女命,二爻（邵雍）,二爻吉凶,二女命,三爻（邵雍）,三爻吉凶,三女命,四爻（邵雍）,四爻吉凶,四女命,五爻（邵雍）,五爻吉凶,五女命,上爻（邵雍）,上爻吉凶,六女命,用九、六（解说）,用吉凶
1,乾乾,乾为天,0,乾为天,0,吉,乾,乾为天,天行刚健，自强不息，名利双收之象，宜把握机会，争取成果。女人得此卦则有过于刚直之嫌。,䷀,宜沉稳待机，若一动作即生灾疾，谋事不利，谨防小人。做官的会有阻力。经商的会有阻滞。女命则兴家业，孕生子。,平,吉,会得到贵人的提拔。做官的会遇到明主，身居要职。读书人考试能获得佳绩。经商者获利。女命逢之，则又富又贵。,吉,吉,会往来不停，财利难获，凡事不认真计划，躁动者会有损失。做官的会身兼重职，且事多繁冗，如果能保持忧虑和谨慎的态度则没有过失。女命逢之，性躁，难成为贤内助。,平,凶,百为艰难。做官的会停缺待职，等待机会。女命逢之，则安乐富贵也。,平,吉,会遇到贵人，谋遂志得。做官的会飞黄腾达。女命则兼男权，难免孤独。,吉,凶,有过刚取凶之祸，五十以后者不寿。做官的会退职，或遭贬。女命逢之，其性必悍，难成为贤内助。,平,凶,现群龙相互平等和谐亲善没有首领，十分吉祥。,吉
2,坤坤,坤为地,7,坤为地,7,,坤,坤为地,宜顺从运势，以静制动，不宜独立谋事，顺从他人，一起合作，可成大事。,䷁,宜谨防仇怨引起的纠纷。阴气盛的人则会大兴家业。做官的要谨防小人的谗言而生祸。,平,,会不愁吃喝，衣食无忧。做官的会升迁，身居高位。女命则为贤良起家。,吉,吉,谋望可成，认真经营会有收获。做官的会有升迁的希望。女命则为德妇。,平,吉,经营受阻，大凡谨慎收敛者，则无横来之祸。做官的要谨守常职，可望升迁。女命则贤而起家。,平,吉,将会获得财利，事事安稳，没有灾难。做官的将会升迁，飞黄腾达。女命则为德妇，贤惠之人。,吉,吉,有竞争的困扰，会有大的损失。做官的会有被贬之祸。,凶,,利于永远坚持下去。,吉
3,坎震,坎为水,5,震为雷,3,,屯,水雷屯,身处困境，宜守不宜进，须多加辛苦努力，排除困难，方可通达，有初难后解之象。,䷂,安分守己者则无忧，躁动者不利。做官的暂时未受到重用，坚守正道，好运可期。女命则为良妇而兴家。,平,吉,有婚嫁之喜事。做官的权柄日盛。,平,,须安分守己，否则会有灾难。做官的有贪污之嫌，有被停职降职之忧。,凶,,谋事可成，百事和合，会得到朋友的帮助，大吉大利。做官的将会名声显赫，有升迁之机。,吉,,谋事者切勿急躁，小事可成，大事无望，甚至会招来凶祸。,平,,家道中落，须防损失。做官的须谨防小人的谗言。,凶,,,
4,艮坎,艮为山,6,坎为水,5,,蒙,山水蒙,智慧犹如童蒙，不辨是非，迷失方向；若能顺贤师良友之教，启其聪明则亨通。,䷃,多有官诉，亲朋不和，多争斗，终能脱解。做官的为教育之职，或为司法系统之职。,凶,,人情和合，百事有成，或结婚，或生子孙，有财有福。做官的会守住官职。,吉,,会生是非，小则破财，大则伤身。做官的会因为贪婪而自取其辱。,凶,,人情淡薄，经营受阻。静无灾，动有损。做官的因为无人赏识而难以晋升。,凶,,依附贵人、良师者百事顺遂，谋望可成。,吉,,宜守旧，须谨防争讼，寇盗之扰。做官的会有司寇之名职。,平,,,
5,坎乾,坎为水,5,乾为天,0,,需,水天需,时机尚未成熟，需要耐心等待，急进反会见凶。,䷄,宜守旧，则无灾祸。做官的须守常职，耐心等待机会。,平,,会受到争诉之扰，若能以宽厚待人，则不辩自明。做官的会受到流言的困扰，但最后吉祥。,吉,,须防止窃盗之患，亦要预防水险。做官的会被贬职。,凶,,坏运逐渐远离，恢复平静。做官的能全身而退。从事国学者可出身成名。,平,,会物产丰富，衣食不缺，也会有婚嫁之喜。做官的食禄会丰厚。,吉,,宜谨慎，则忧愁自散。做官的会有升迁之机会，但须防谗邪之流。,平,,,
6,乾坎,乾为天,0,坎为水,5,,讼,天水讼,身心不安，事多不顺，与他人多争诉之事，宜修身养性，谨慎处事。,䷅,会生起是非，但终吉。有病者，不药而愈。做官的会遭诽谤，但会不辩自明。,吉,,平安无事。做官的会有食邑之荣。,平,,宜保持常态，则无灾难。做官的宜谨守常职，晋升无望。,平,,会转危为安。做官的会闲中复职。,吉,,经营、谋事、求财皆大吉。做官的会受到重用。读书人会获得佳绩。,吉,,会有争诉之忧，宜修德养身，化大为小。做官的会有成有败，患得患失。读书人认真学习，必可获佳绩。,平,,,
7,坤坎,坤为地,7,坎为水,5,,师,地水师,困难重重，忧心劳众，宜包容别人，艰苦努力，摒除一切困难。,䷆,经营得当，则财货日增。但妄动者，成少败多。不良者，多险难刑伤。做官的宜谨守正道，则会得到上级的欣赏。,凶,,会遇到贵人，谋事可成。做官的会受到上级的赏识，有升迁之机会。读书人会取得佳绩。,吉,,多有悲优，或家中亲人病故。做官的会受职待缺。,凶,,安居乐业，无妄动之灾。做官的官运不济，不宜妄想。,平,,财富日增，若用人得当，则谋望可成，但须谨防小人之危。做官的或有实权，或因为谏言而地位高显。读书人会取得佳绩。,平,,可立家计，或继承家业，但谨防小人从中作梗。做官的会当权立功。专业人才则会技艺成名。,平,,,
8,坎坤,坎为水,5,坤为地,7,,比,水地比,可获朋友之助，众人之力，谋事有成，荣显之极。,䷇,会遇到知己，谋事称心如意。做官的会有意外之喜。,吉,,得贵人之助，营谋遂意。做官的会无过失，安然而吉亨。读书人或能成名。女命则会得贤夫。,吉,吉,交友不慎，或有争诉，破财刑伤。做官的要谨防同僚不睦而造成不顺。女子则所嫁并非良人，破家丧身之象，不然则会争诉破财。,凶,凶,出外有利，多得知己之力，事事顺利。做官的会有升迁之喜。,吉,,会先逆后顺，谋事有成，无往不利。做官的会有大的荣耀。读书人会考的佳绩。,吉,,刑克有灾，人情淡薄，甚者恐有性命之忧。做官的会失去下属的支持，处境危难。,凶,,,
9,巽乾,巽为风,4,乾为天,0,,小畜,风天小畜,力量薄弱，运势反覆，宜蓄养实力，静待时机，急进则有险，凡事须耐心推进。,䷈,宜守旧业，不宜创新。谋事者，须防猜忌疑惑之祸。做官的会闲位复职。,平,,有人相助，营谋遂意。做官的有升迁之机会。,吉,,荣而见辱，进而见退，或有足目之疾，或夫妻反目，或君臣疏远，或朋友是非，血气损伤。,凶,,心诚者，人情和合，营谋颇遂。做官的会得到上司的提拔，久任者，能转运。,平,,能得到他人的帮助，百谋称心。做官的会得到上级的赏识，下属的拥戴，德高望重。,吉,,会受到小人的骚扰，宜修德养身，不妄进者，则可免灾。妇女占得此爻则凶，君子离家出行有凶险。,平,凶,,
10,乾兑,乾为天,0,兑为泽,1,,履,天泽履,困难时期，多坎坷不顺，万事不宜急进，须循序渐进，谨慎行事。,䷉,营谋有计，则财利日增。做官的若修德养身，则有升迁之机。,平,,安然自乐，修身养性。做官的会有全身而退之兆。,平,,会有争诉，囚狱之扰，甚者家破人亡。做官的则会有被贬职之祸。,凶,,会有危险，宜温和自持，可免灾祸。做官的会有虎符将帅之兆。读书人将会取得不错的佳绩。,平,,躁动妄行者，则祸患将至，甚者有性命之忧。做官的会功高盖主，而不赏。,凶,,财利可获。做官的宜退而以享安静和平之福。读书人努力者可获佳绩。,吉,,,
