笔画,吉凶,女命,最吉,卦,天九,义象,基业,家庭,健康,含义
1,吉,,,艮艮,太极之数,太极之数，万物开泰，生发无穷，利禄亨通,聪明、多学、成功、富贵、名誉、幸福、财帛、进田。,竹木成林、父母有荫、家庭圆满、子女多孝。,“三才”善良者身体安康，可望长寿，否则不遇。,万事万物的基本数。为最吉祥运的表示，属于健康幸福、富贵名誉、伟大成功的运数，可以享福终世。因其数理过好，故是常人难以承当之数。
2,凶,,,离艮,两仪之数,两仪之数，混沌未开，进退保守，志望难达,劫财、破灭、灾危、破家、红艳、变迁、美貌。,亲情疏远。夫妻应相互理解，则免别离之苦。,凶变、病弱、短命也有之。易患皮肤病、外伤、夭折。,混沌未定之象，为最大凶恶的暗示。意志不坚，无独立之气力，进退失自由，内外生波澜，困苦不安。摇动、病患、遭难，甚至残废。若伴有其他好数者可免致短命夭折。其人辛苦一生，志望难达，破灭无常。
3,吉,,,巽艮,三才之数,三才之数，天地人和，大事大业，繁荣昌隆,学术、技艺、祖业、丰盛、自立、建业、官禄。,家内施恩惠，可得贤妻，六亲和睦，须戒自私。,松柏林立，健康良好，可望长寿。,阴阳抱合，天地人形成，确定之象。有吉祥福禄之暗示，为成功发达之兆。智达明敏，艺精工巧，诸事如意，能成就功业，名利两全，有首领之资质，享自然之福。荣进有望，福祉无穷。
4,凶,,,坎艮,四象之数,四象之数，待于生发，万事慎重，不具营谋,美貌、香艳、破家、灾危、劫财、损家业。,六亲缘薄，兄弟如同画饼，热心相助者少。,衰弱、外伤、皮肤病、夭折、发狂病死等。,万物枯衰，破败死亡之象。属破坏的凶变数、不足不全的灭亡之兆。进退不自由，独立乏能力，大多辛苦困难。病难灾厄相继，或者与其他凶运配合而致发狂病死、夭折、或者放荡、破灭，逆难，终成废人。但孝子、节妇、怪杰等，也有出自数者。
5,吉,,,兑艮,五行之数,五行俱权，循环相生，圆通畅达，福祉无穷,学者、祖业、文昌、福星、暗禄、官星、财钱。,上下敦睦，相互合作，可望圆满，子女多荫。,身体健康，福如东海，寿比南山。,阴阳交感，和合完壁之象，暗藏大成功运。雄威畅达，身体健康，家门兴隆，富贵荣华，福寿双全，无所不至。他乡成家，复兴家业。即使不如此，也会博得功名荣誉，福祉祯祥。
6,吉,,,中艮,六爻之数,六爻之数，发展变化，天赋美德，吉祥安泰,豪杰、官禄、财钱、将星、学者。,可望健康，逢凶化吉，遇一次险，可得长寿。,家庭圆满和睦，安宁自在。,天德地祥俱备，天地人和。财禄丰盈，富裕安稳，家势盛大，万宝朝宗之运。然而满极必损，盈极则亏。若其他要素配合不周者，恐或如流水而下，成为所谓乐极生悲之象。此数理为天赋之美，安稳吉庆终生。
7,吉,,,震艮,七政之数,七政之数，精悍严谨，天赋之力，吉星照耀,独立、官禄、进取、技术、刚硬。,缺乏同化力，内外不合，善涵养修身者可得家庭圆满。,日月光明，心身健全，可望长寿。,独立、单行、权威之象，过刚而缺乏同化力之意。天赋的精力充沛，具有调节事物发展的才能。能够勇往迈进，排除万难，成功显达。若能涵养雅量，刚柔处事，扩大气度，自然幸福上进。如果玩刚弄权，易酿成内外不和，于已不利，宜戒之。女性有此数者，难免流于男性特征，切要注意温和养德，才会吉利而无过失。
8,半吉,,,乾艮,八卦之数,八卦之数，乾坎艮震，巽离坤兑，无穷无尽,艺能、美术、学者、官禄、天官、师表、畜产。,兴家成为达贤者，家境先难后裕。,高山立松，完健自在，可望长寿。,意志如磐石，富于进取的气慨。排除万难达到目的。名实两得，忍耐克己逐成大功。若其他运配合不善者，可能有遭难的厄患。戒慎过刚，可免遭难。
9,凶,,,坤艮,大成之数,大成之数，蕴涵凶险，或成或败，难以把握,官禄、图印、太极、怪杰、富翁、突破。,亲情不睦，道长说短者多。力持贤明尚平安。,女性成风流或与丈夫离别，体弱，男女皆晚婚，行事多积德，可免短命。,浮沉不定之象。利去功空，陷落穷迫、逆运、短命、怪澹、悲痛，或者幼小离亲而困苦，或者病弱、不遇、遭难、废疾、贫困、灾难、孤独，甚而刑罚，有不测之凶厄。主运有此数者则为凶。即或一身得免灾害，也难免丧失配偶或有缺子之叹。实为人生最大恶运。但有例外的怪杰、学者、伟人、富豪能出此数者。
10,凶,,,艮离,终结之数,终结之数，雪暗飘零，偶或有成，回顾茫然,天福、文昌、散财、官禄、破危、夭寿。,家内冷眼旁观者多，伤妻害子破重圆，百忍尚可得和平。,杀伤、刑罚、病弱、灾危、女易风流、心性变态。,日没黄昏，四顾茫茫，神哭鬼号之象。其凶恶甚于九数，为事物吉终之运。有如黑暗的境地，空虚无物。主运有此数者，多非业短命。行事乏气力，常陷于不如意，障碍重重终失败，遂致破家亡产，贫困逆难迭至。无眷属之缘，自幼失亲，病弱遭难，或惹官非等。非业非运，一生多病不安，常遇不测之灾祸。“三才”配置不善者，大都中年前后编入黄泉之籍。然万人中亦有一二例外者可绝处逢生。
